airbnb_id,night_price_native,night_price,weekly_price,monthly_price,cleaning_fee_native_price,num_of_baths,num_of_rooms,occupancy,nights_booked,rental_income,airbnb_neighborhood_id,airbnb_city,capacity_of_people,zip,property_type,room_type,reviews_count,num_of_beds,lat,lon,star_rating
33453158.0,135,147,0,0,93,2.0,2,19,52,849,268866.0,Orlando,6,3,Condominium,Entire home/apt,169,2,28.5002,-81.4424,5
33453697.0,65,99,0,0,75,1.0,1,11,32,317,268890.0,Orlando,2,3,Guest suite,Entire home/apt,6,1,28.5163,-81.3563,5
33457201.0,65,76,0,0,65,1.0,1,3,56,709,268987.0,Orlando,3,3,Apartment,Entire home/apt,212,2,28.456,-81.4671,5
33458807.0,85,117,0,0,5,1.0,1,79,287,2798,269028.0,Orlando,4,3,Guesthouse,Entire home/apt,126,2,28.4717,-81.4927,5
33452971.0,45,78,0,0,2,1.0,1,16,6,39,268890.0,Orlando,2,3,Apartment,Entire home/apt,401,1,28.5381,-81.3544,5
33453342.0,85,85,0,0,8,2.0,2,25,91,645,268906.0,Orlando,4,3,Condominium,Entire home/apt,12,3,28.5062,-81.302,5
33455196.0,84,1,0,0,8,1.0,1,9,302,2745,268941.0,Orlando,2,3,Apartment,Entire home/apt,88,7,28.5521,-81.3728,5
33469213.0,352,158,0,0,274,3.0,4,8,291,3832,274235.0,Orlando,8,3,House,Entire home/apt,23,6,28.3415,-81.3221,5
33452498.0,95,92,0,0,5,1.0,1,1,1,31,268878.0,Orlando,1,3,Guest suite,Entire home/apt,17,1,28.5866,-81.3659,5
33452533.0,135,93,0,0,2,1.0,1,9,328,2542,268878.0,Orlando,2,3,Loft,Entire home/apt,883,1,28.5652,-81.3701,5
33451991.0,7,86,0,0,15,2.0,2,57,207,1484,268866.0,Orlando,4,3,Condominium,Entire home/apt,506,2,28.4891,-81.4405,5
33453015.0,13,152,0,0,1,1.0,2,61,222,2812,268881.0,Orlando,4,3,Townhouse,Entire home/apt,71,2,28.5617,-81.3364,5
33453351.0,199,168,0,0,115,2.5,3,53,145,2707,268866.0,Orlando,6,3,Townhouse,Entire home/apt,47,3,28.4941,-81.4385,5
33453278.0,9,82,0,0,0,2.0,2,56,136,1394,268906.0,Orlando,4,3,Condominium,Entire home/apt,8,3,28.5075,-81.3012,5
33452105.0,8,75,0,0,35,1.0,0,64,233,1456,268878.0,Orlando,5,3,Guesthouse,Entire home/apt,323,2,28.559,-81.3609,5
